
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
10000 	20 	0 	0,0500	925,6360	22.8
10000 	20 	0 	0,0100	925,8540	22.6
10000 	20 	1 	1,0000	933,1215	1.6
10000 	20 	1 	0,5000	927,0065	3.3
10000 	20 	1 	0,1000	925,2415	17.5
10000 	20 	1 	0,0500	926,2800	23.1
10000 	20 	1 	0,0100	926,6620	23.9
10000 	20 	2 	1,0000	932,2485	1.7
10000 	20 	2 	0,5000	929,8760	3.2
10000 	20 	2 	0,1000	924,3425	17.4
10000 	20 	2 	0,0500	929,4645	23.3
10000 	20 	2 	0,0100	937,4770	25.7
10000 	20 	3 	1,0000	933,0355	1.6
10000 	20 	3 	0,5000	929,2445	3.4
10000 	20 	3 	0,1000	929,9320	17.5
10000 	20 	3 	0,0500	929,5925	23.0
10000 	20 	3 	0,0100	938,4835	25.1
10000 	21 	0 	1,0000	931,3540	1.7
10000 	21 	0 	0,5000	927,1205	3.3
10000 	21 	0 	0,1000	925,4315	17.1
10000 	21 	0 	0,0500	926,0015	23.4
10000 	21 	0 	0,0100	926,3860	22.6
10000 	21 	1 	1,0000	933,1175	1.6
10000 	21 	1 	0,5000	927,3550	3.3
10000 	21 	1 	0,1000	928,0075	17.0
10000 	21 	1 	0,0500	927,2640	22.3
10000 	21 	1 	0,0100	927,6040	22.4
10000 	21 	2 	1,0000	934,4155	1.7
10000 	21 	2 	0,5000	929,2660	3.1
10000 	21 	2 	0,1000	927,6440	17.2
10000 	21 	2 	0,0500	931,7610	22.9
10000 	21 	2 	0,0100	933,1165	25.1
10000 	21 	3 	1,0000	935,4500	1.6
10000 	21 	3 	0,5000	929,8045	3.3
10000 	21 	3 	0,1000	930,6740	17.6
10000 	21 	3 	0,0500	932,5185	24.9
10000 	21 	3 	0,0100	944,8305	26.0
10000 	22 	0 	1,0000	931,8390	2.0
10000 	22 	0 	0,5000	926,9700	3.7
10000 	22 	0 	0,1000	925,6965	17.1
10000 	22 	0 	0,0500	925,8595	23.8
10000 	22 	0 	0,0100	925,1025	25.0
10000 	22 	1 	1,0000	934,2185	1.8
10000 	22 	1 	0,5000	927,8725	3.5
10000 	22 	1 	0,1000	926,6195	18.7
10000 	22 	1 	0,0500	925,8750	25.5
10000 	22 	1 	0,0100	925,9445	25.0
10000 	22 	2 	1,0000	936,2790	1.7
10000 	22 	2 	0,5000	929,0875	3.4
10000 	22 	2 	0,1000	928,9810	18.5
10000 	22 	2 	0,0500	926,2855	26.1
10000 	22 	2 	0,0100	932,3000	25.9
10000 	22 	3 	1,0000	934,5780	1.7
10000 	22 	3 	0,5000	931,6960	3.6
10000 	22 	3 	0,1000	929,8675	18.8
10000 	22 	3 	0,0500	933,9400	25.5
10000 	22 	3 	0,0100	941,6305	26.1
10000 	23 	0 	1,0000	932,3590	2.7
10000 	23 	0 	0,5000	927,7995	3.5
10000 	23 	0 	0,1000	926,2765	17.9
10000 	23 	0 	0,0500	924,1255	24.5
10000 	23 	0 	0,0100	924,4710	23.9
10000 	23 	1 	1,0000	932,7340	1.7
10000 	23 	1 	0,5000	930,4590	3.5
10000 	23 	1 	0,1000	928,3805	18.9
10000 	23 	1 	0,0500	923,9615	25.0
10000 	23 	1 	0,0100	928,3790	24.8
10000 	23 	2 	1,0000	935,3775	1.6
10000 	23 	2 	0,5000	930,9625	3.3
10000 	23 	2 	0,1000	927,0530	18.4
10000 	23 	2 	0,0500	929,6635	24.1
10000 	23 	2 	0,0100	933,4845	23.7
10000 	23 	3 	1,0000	932,4775	1.6
10000 	23 	3 	0,5000	927,6250	3.3
10000 	23 	3 	0,1000	928,8420	18.3
10000 	23 	3 	0,0500	927,9760	23.6
10000 	23 	3 	0,0100	929,4290	25.4
10000 	24 	0 	1,0000	929,9665	2.1
10000 	24 	0 	0,5000	925,5220	3.5
10000 	24 	0 	0,1000	924,8200	20.3
10000 	24 	0 	0,0500	925,7425	24.0
10000 	24 	0 	0,0100	925,3160	23.9
10000 	24 	1 	1,0000	931,8315	1.7
10000 	24 	1 	0,5000	926,9880	3.3
10000 	24 	1 	0,1000	926,5660	17.5
10000 	24 	1 	0,0500	926,6325	23.0
10000 	24 	1 	0,0100	929,0470	25.3
10000 	24 	2 	1,0000	936,0830	1.7
10000 	24 	2 	0,5000	928,8075	3.3
10000 	24 	2 	0,1000	929,7385	17.5
10000 	24 	2 	0,0500	931,6510	23.5
10000 	24 	2 	0,0100	936,2390	23.3
10000 	24 	3 	1,0000	937,5025	1.7
10000 	24 	3 	0,5000	928,0530	3.3
10000 	24 	3 	0,1000	930,1470	17.9
10000 	24 	3 	0,0500	930,3960	24.2
10000 	24 	3 	0,0100	934,5670	24.1
10000 	25 	0 	1,0000	929,8525	2.0
10000 	25 	0 	0,5000	927,2525	3.5
10000 	25 	0 	0,1000	925,9440	18.4
10000 	25 	0 	0,0500	924,6490	23.9
10000 	25 	0 	0,0100	925,5840	24.1
10000 	25 	1 	1,0000	933,1785	1.6
10000 	25 	1 	0,5000	928,4425	3.2
10000 	25 	1 	0,1000	926,3925	17.4
10000 	25 	1 	0,0500	926,8130	22.9
10000 	25 	1 	0,0100	928,9860	23.1
10000 	25 	2 	1,0000	936,5880	1.6
10000 	25 	2 	0,5000	932,8100	3.4
10000 	25 	2 	0,1000	928,0680	18.8
10000 	25 	2 	0,0500	930,0155	22.3
10000 	25 	2 	0,0100	931,2455	25.2
10000 	25 	3 	1,0000	935,9570	1.6
10000 	25 	3 	0,5000	930,9520	3.2
10000 	25 	3 	0,1000	932,9055	16.8
10000 	25 	3 	0,0500	930,8595	24.9
10000 	25 	3 	0,0100	935,7480	24.7
10000 	26 	0 	1,0000	930,3395	2.1
10000 	26 	0 	0,5000	928,0235	3.5
10000 	26 	0 	0,1000	923,0845	17.7
10000 	26 	0 	0,0500	925,1925	23.4
10000 	26 	0 	0,0100	925,2290	23.5
10000 	26 	1 	1,0000	932,6600	1.6
10000 	26 	1 	0,5000	927,8675	3.2
10000 	26 	1 	0,1000	926,7455	17.4
10000 	26 	1 	0,0500	926,4345	22.6
10000 	26 	1 	0,0100	929,5790	22.6
10000 	26 	2 	1,0000	935,1330	1.6
10000 	26 	2 	0,5000	931,7335	3.2
10000 	26 	2 	0,1000	930,1295	17.7
10000 	26 	2 	0,0500	931,5370	23.4
10000 	26 	2 	0,0100	935,9845	25.8
